Date;Class;lat;long
01.01.0650;14.980;42.600;47.700
01.01.0743;12.820;42.100;48.200
01.01.0918;14.980;42.100;48.200
01.01.0957;13.900;41.500;49.000
01.01.1250;14.260;41.600;47.200
01.01.1530;14.260;42.000;45.400
01.01.1622;13.180;42.100;47.700
08.06.1652;14.440;42.100;47.700
17.12.1667;15.700;41.700;47.300
21.01.1668;16.060;41.000;47.500
07.05.1668;15.700;41.000;47.500
11.01.1671;15.340;41.000;47.500
12.01.1671;14.620;41.000;47.500
11.02.1671;14.620;41.000;47.500
26.05.1671;14.620;41.000;47.500
23.08.1722;12.280;42.000;48.100
01.01.1735;12.820;43.000;47.000
01.01.1738;12.820;43.000;47.000
01.01.1742;13.360;43.100;46.700
01.01.1756;12.460;41.900;45.300
01.01.1764;13.180;41.700;47.500
12.02.1767;12.280;43.900;46.700
20.11.1770;11.200;43.400;46.000
23.02.1785;13.900;43.100;46.300
09.03.1830;15.340;43.000;47.000
25.06.1830;12.640;43.000;47.000
22.03.1832;11.560;42.100;48.300
12.03.1844;13.540;42.500;46.700
28.09.1846;10.480;41.300;48.500
16.01.1848;11.200;43.500;46.800
23.01.1848;10.480;43.400;46.000
27.11.1849;11.560;42.100;48.200
19.05.1851;11.740;42.100;48.200
18.03.1853;11.200;41.900;45.600
03.06.1853;10.840;43.300;46.100
15.08.1853;11.560;42.100;48.200
20.02.1855;12.280;42.600;47.500
17.12.1861;10.660;43.200;45.500
14.05.1862;11.380;43.000;46.100
18.07.1863;13.000;43.000;47.100
13.04.1864;11.200;43.000;46.100
28.08.1865;12.640;42.600;46.100
21.03.1868;12.280;43.400;45.700
30.06.1868;9.760;42.900;45.700
10.12.1868;11.200;41.400;48.400
04.05.1869;10.660;43.000;47.500
16.06.1871;10.660;43.000;47.500
14.05.1876;12.640;42.700;47.000
31.03.1878;11.920;43.500;47.800
04.05.1878;14.260;41.600;48.100
16.07.1878;11.560;43.100;46.500
29.11.1880;10.840;41.700;46.600
31.01.1881;11.740;42.300;47.300
20.10.1881;9.760;43.500;45.800
19.07.1881;11.380;42.800;47.100
19.07.1882;10.840;42.800;47.100
19.07.1882;11.380;42.800;47.100
01.05.1885;11.200;41.900;47.800
16.10.1886;14.440;43.500;45.900
26.06.1889;14.620;42.500;48.000
14.05.1890;12.100;41.800;46.700
02.07.1893;12.820;42.500;46.700
22.01.1897;10.840;41.400;46.300
19.10.1897;10.660;42.800;47.100
19.12.1899;12.820;42.300;46.600
17.04.1900;12.280;42.200;45.100
06.02.1901;12.640;42.800;46.700
21.02.1902;10.480;41.700;46.600
21.02.1902;14.080;41.800;48.800
05.04.1902;11.740;41.700;46.800
10.05.1902;13.360;43.300;45.800
10.05.1902;11.920;43.200;45.600
05.08.1902;10.480;41.100;47.400
03.10.1902;11.920;41.800;45.600
17.10.1902;12.100;42.100;45.800
03.06.1903;12.100;42.000;46.400
