year;d_conc_min;d_conc_max;d_conc_asc;d_conc_desc;d_disp_min;d_disp_max;d_disp_asc;d_disp_desc;k_conc_min;k_conc_max;k_conc_asc;k_conc_desc;k_disp_min;k_disp_max;k_disp_asc;k_disp_desc;events;target
01.01.2004;0.686655405;0.846639318;2.02140884;1.065537957;;;;;;;;;;;;;41;0
02.01.2004;0.670326577;0.901546229;1.973066298;1.040415074;;;;;;;;;;;;;42;0
03.01.2004;0.670326577;0.901546229;1.973066298;1.040415074;;;;;;;;;;;;;42;0
04.01.2004;0.670326577;0.901546229;1.973066298;1.040415074;;;;;;;;;;;;;42;0
05.01.2004;0.670326577;0.901546229;1.973066298;1.040415074;;;;;;;;;;;;;42;0
06.01.2004;0.660105351;0.901546229;2.050969131;1.040415074;;;;;;;;;;;;;42;0
07.01.2004;0.645432366;0.871547421;2.050969131;1.120230005;;;;;;;;;;;;;42;0
08.01.2004;0.656350915;0.819006044;2.101220388;1.147412441;;;;;;;;;;;;;41;0
09.01.2004;0.699706118;0.806845137;2.050969131;1.120230005;;;;;;;;;;;;;42;0
10.01.2004;0.684705882;0.814574068;2.050969131;1.153390743;1.726519337;0.629056604;0.688011555;0.801430374;;;;;;;;;42;0
11.01.2004;0.68957346;0.871547421;2.050969131;1.056572379;1.726519337;0.629056604;0.688011555;0.801430374;;;;;;;;;42;0
12.01.2004;0.655200881;0.91717496;1.973066298;1.056572379;1.710571331;0.635531834;0.688011555;0.801430374;;;;;;;;;42;0
13.01.2004;0.598770606;0.952014765;2.091508053;1.056572379;1.759324419;0.629056604;0.688011555;0.783305921;;;;;;;;;42;0
14.01.2004;0.590688913;0.93964687;2.142752562;1.082085413;1.785291042;0.557758292;0.704381319;0.802220395;;;;;;;;;41;0
15.01.2004;0.595012198;0.931572247;2.142752562;1.082085413;1.802251935;0.552075472;0.686532145;0.820782499;;;;;;;;;41;0
16.01.2004;0.599562961;0.923635216;2.142752562;1.082085413;1.82018479;0.546303211;0.686532145;0.820782499;;;;;;;;;41;0
17.01.2004;0.640742734;0.985041375;1.99771167;1.040415074;1.794043775;0.616266174;0.670577194;0.801430374;;;;;;;;;42;0
18.01.2004;0.636120759;0.993579454;1.99771167;1.040415074;1.811594203;0.610175695;0.670577194;0.801430374;;;;;;;;;42;0
19.01.2004;0.631564987;1.002591513;1.99771167;1.040415074;1.830161054;0.603985507;0.670577194;0.801430374;;;;;;;;;42;0
20.01.2004;0.673512375;0.987908497;1.951182304;1.01583834;1.736743839;0.729522482;0.671641791;0.782498948;;;;;;;;;43;0
21.01.2004;0.684705882;0.941971645;1.99771167;1.040415074;1.760443623;0.663994423;0.697413372;0.801430374;;;;;;;;;42;0
22.01.2004;0.584800224;1.072900646;1.910380881;1.01583834;1.818052594;0.526415094;0.680819912;0.841914722;;;;;;;;;43;0
23.01.2004;0.589245495;1.037786373;1.951182304;1.047297297;1.800140746;0.531833778;0.680819912;0.841914722;;;;;;;;;43;0
24.01.2004;0.688374596;0.895987159;1.951182304;1.126480086;1.750256586;0.537365177;0.680819912;0.860608553;;;;;;;;;43;0
25.01.2004;0.728559979;0.883381924;1.906941266;1.100645856;1.804903315;0.52001525;0.665690581;0.840871711;;;;;;;;;44;0
26.01.2004;0.630163571;0.932470811;1.996339678;1.100645856;1.804903315;0.52001525;0.665690581;0.840871711;;;;;;;;;44;0
27.01.2004;0.630163571;0.932470811;1.996339678;1.100645856;1.811594203;0.588170055;0.648288973;0.840871711;;;;;;;;;44;0
28.01.2004;0.677690431;0.940483768;1.996339678;1.008319468;1.830161054;0.582357247;0.648288973;0.840871711;;;;;;;;;44;0
29.01.2004;0.667913438;0.899109792;1.996339678;1.100645856;1.764510166;0.646055437;0.665690581;0.840871711;;;;;;;;;44;0
30.01.2004;0.621426663;0.920211012;2.043191801;1.126480086;1.823749066;0.572836031;0.680819912;0.860608553;;;;;;;;;43;0
31.01.2004;0.621426663;0.920211012;2.043191801;1.126480086;1.823749066;0.572836031;0.680819912;0.860608553;;;;;;;;;43;0
01.02.2004;0.673512375;0.928785358;2.043191801;1.01583834;1.823749066;0.572836031;0.680819912;0.860608553;;;;;;;;;43;0
02.02.2004;0.673512375;0.928785358;2.043191801;1.01583834;1.823749066;0.572836031;0.680819912;0.860608553;;;;;;;;;43;0
03.02.2004;0.673512375;0.928785358;2.043191801;1.01583834;1.787701318;0.601848429;0.654622243;0.860608553;;;;;;;;;43;0
04.02.2004;0.70390754;0.912091503;1.89220339;1.01583834;1.818052594;0.607916355;0.654622243;0.782498948;;;;;;;;;43;0
05.02.2004;0.709176601;0.904114027;1.89220339;1.01583834;1.83566559;0.601848429;0.654622243;0.782498948;;;;;;;;;43;0
06.02.2004;0.665269628;0.91717496;1.936949153;1.040415074;1.759324419;0.642141757;0.670577194;0.783305921;;;;;;;;;42;0
07.02.2004;0.675460993;1.171947093;1.367552046;1.040415074;1.759324419;0.642141757;0.670577194;0.783305921;;;;;;;;;42;0
08.02.2004;0.660105351;1.181761787;1.42270351;1.040415074;1.759324419;0.642141757;0.670577194;0.783305921;;;;;;;;;42;0
09.02.2004;0.729692265;0.979528536;1.572068708;1.149645003;1.57424349;0.709553159;0.740966682;0.865542763;;;;;;;;;38;0
10.02.2004;0.73540095;0.95523291;1.572068708;1.185247748;1.57424349;0.709553159;0.740966682;0.865542763;;;;;;;;;38;0
